2504830 031613220 1 13 ///// 00085 N///// E///// Z///// P///P///P///P///P///P///                
2504834 031613240 1 14 ///// 00110 N///// E///// Z///// P///P///P///P///P///P///                
2520132 031613330 1 09 ///// 00026 N///// E///// Z///// P///P///P///P///P///P///                
2521400 031613349 1 06 13445 00022 N00011 E00021 Z00007 F039F039F037F037F039F039                
2521630 031613380 1 09 ///// 00030 N///// E///// Z///// P///P///P///P///P///P///                
2521700 031613232 1 11 13395 00033 N00031 E00028 Z00019 F047F047F037F037F093F038                
2521720 031613225 1 13 13372 00055 N00046 E00049 Z00032 F098F051F068F015F085F025                
3000000 031613205 1 14 13329 00084 N00073 E00080 Z00033 F073F073F069F069F074F074                
3000020 031613323 1 10 13328 00064 N00046 E00056 Z00038 F119F052F103F103F188F137                
3000030 031613320 1 12 ///// 00067 N00045 E00037 Z00056 P///P///P///P///P///P///                
3000031 031613330 1 11 ///// 00051 N00050 E00034 Z00032 P///P///P///P///P///P///                
3000200 031613172 1 10 13267 00109 N00095 E00089 Z00034 F201F074F203F203F149P205                
3000230 031613330 1 11 ///// 00031 N00025 E00026 Z00018 P///P///P///P///P///P///                
3000232 031613260 1 11 ///// 00060 N00047 E00044 Z00025 P///P///P///P///P///P///                
3000233 031613540 1 13 ///// 00092 N00073 E00081 Z00063 P///P///P///P///P///P///                
3000530 031613350 1 11 ///// 00048 N00040 E00036 Z00027 P///P///P///P///P///P///                
3000531 031613340 1 13 ///// 00054 N00044 E00044 Z00027 P///P///P///P///P///P///                
3000532 031613360 1 10 ///// 00070 N00046 E00069 Z00038 P///P///P///P///P///P///                
3000631 031613310 1 12 ///// 00081 N00061 E00076 Z00035 P///P///P///P///P///P///                
3000730 031613360 1 10 ///// 00043 N00037 E00035 Z00029 P///P///P///P///P///P///                
3001931 031613330 1 08 ///// 00027 N00023 E00024 Z00018 P///P///P///P///P///P///                
3003100 031613296 1 10 13301 00046 N00035 E00032 Z00020 F053F053F056F056F053F053                
3003121 031613291 1 13 13334 00123 N00122 E00082 Z00036 F099F103F106F109F162F162                
3003132 031613290 1 10 ///// 00101 N00074 E00101 Z00019 P///P///P///P///P///P///                
3003133 031613240 1 10 ///// 00107 N00107 E00086 Z00040 P///P///P///P///P///P///                
3003230 031613310 1 10 ///// 00036 N00032 E00032 Z00017 P///P///P///P///P///P///                
3003231 031613300 1 13 ///// 00051 N00051 E00036 Z00017 P///P///P///P///P///P///                
3003330 031613300 1 14 ///// 00106 N00100 E00078 Z00056 P///P///P///P///P///P///                
3003331 031613310 1 14 ///// 00077 N00074 E00053 Z00036 P///P///P///P///P///P///                
3003430 031613250 1 10 ///// 00074 N00052 E00060 Z00047 P///P///P///P///P///P///                
3003431 031613350 1 11 ///// 00073 N00071 E00048 Z00030 P///P///P///P///P///P///                
3003432 031613390 1 09 ///// 00041 N00033 E00034 Z00029 P///P///P///P///P///P///                
3010030 031613410 1 12 ///// 00062 N00054 E00044 Z00028 P///P///P///P///P///P///                
3010031 031613540 1 08 ///// 00031 N00027 E00026 Z00019 P///P///P///P///P///P///                
3010200 031613242 1 13 13380 00060 N00055 E00051 Z00039 F051F060F049F051F185F185                
3010231 031613370 1 12 ///// 00067 N00057 E00050 Z00033 P///P///P///P///P///P///                
3010630 031613500 1 05 ///// 00026 N00023 E00022 Z00010 P///P///P///P///P///P///                
3010820 031613471 1 09 13518 00049 N00032 E00039 Z00023 F090F049F055F055F090F090                
3011120 031613409 1 08 13475 00035 N00027 E00033 Z00017 F108F111F064F057F047F041                
3011130 031613440 1 11 ///// 00044 N00042 E00036 Z00027 P///P///P///P///P///P///                
3011131 031613460 1 08 ///// 00043 N00039 E00033 Z00030 P///P///P///P///P///P///                
3011200 031613399 1 10 13456 00044 N00040 E00034 Z00009 F051F051F046F046F078F100                
3011220 031613429 1 09 13429 00048 N00036 E00046 Z00016 F102F057F067F067F081F095                
3012430 031613420 1 11 ///// 00043 N00038 E00037 Z00028 P///P///P///P///P///P///                
3012530 031614210 1 06 ///// 00030 N00027 E00025 Z00019 P///P///P///P///P///P///                
3014730 031613510 1 07 ///// 00029 N00028 E00022 Z00015 P///P///P///P///P///P///                
3015430 031613510 1 07 ///// 00033 N00032 E00025 Z00014 P///P///P///P///P///P///                
3015431 031613450 1 09 ///// 00035 N00028 E00035 Z00016 P///P///P///P///P///P///                
3015530 031613420 1 12 ///// 00033 N00027 E00029 Z00022 P///P///P///P///P///P///                
3015600 031613397 1 11 13427 00037 N00025 E00030 Z00020 F023F023F042F042F051F051                
3015631 031613410 1 06 ///// 00052 N00046 E00045 Z00015 P///P///P///P///P///P///                
3015632 031613380 1 12 ///// 00057 N00041 E00056 Z00009 P///P///P///P///P///P///                
