5511200 041634045 1 10 34099 00054 N00051 E00036 Z00024 F079F058F059F059F085P205                
5511230 041634110 1 11 ///// 00038 N00032 E00025 Z00028 F023P///F016P///F033P///                
5511530 041634050 1 06 ///// 00097 N00073 E00072 Z00055 F160P///F103P///F232P///                
A2002010417391745 010 355574 028 1391925 037 186413828V   5111  3 90çÈã åßìÏïî                1K
3301130 041739272 1 07 39295 00055 N00041 E00042 Z00025 P001P001P001P001P001P000                
A2002010504513736 007 341672 021 1391357 037  90908520V   5111  3103êVìáÅEê_í√ìáãﬂäC          1K
3560112 050451395 1 10 51396 00046 N00042 E00030 Z00046 F040F040F057F057F116F055                
A2002010508590758 005 391652 015 1402477 026  80111922V   5111  2 47èHìcåßì‡ó§ìÏïî            1K
2330033 050859110 1 07 ///// 00266 N00154 E00250 Z00149 P001P///P001P///P001P///                
A2002010515014885 004 335669 010 1353835 013 112106028V   5111  5193ìﬁó«åß                    2K
5404330 051501546 1 05 01583 00051 N00028 E00050 Z00027 P001P000P002P002P001P000                
5510160 051501580 1 07 ///// 00193 N00176 E00084 Z00041 F090P///F122P///F175P///                
A2002010615572102 003 335718 009 1353855 012 113305131V   5111  5193òaâÃéRåßìÏïî              3K
5404330 061557283 1 07 57307 00063 N00052 E00051 Z00026 P002P002P002P002P001P000                
5510032 061557280 1 10 ///// 00105 N00100 E00065 Z00025 F085P///F080P///F087P///                
5510160 061557300 1 09 ///// 00145 N00143 E00062 Z00032 F089P///F115P///F161P///                
A2002010618351877 013 362373 029 1410177 087 469816440D44V5112  3111àÔèÈåßâ´                 98K
3000000 061835300 2 18 35385 00178 N00115 E00150 Z00116 F073F073F104F104F114F114                
3000030 061835300 2 16 ///// 00124 N00081 E00069 Z00116 P///P///P///P///P///P///                
3000130 061835290 2 16 ///// 00092 N00054 E00057 Z00071 P///P///P///P///P///P///                
3000131 061835350 2 15 ///// 00097 N00090 E00055 Z00058 P///P///P///P///P///P///                
3000200 061835291 2 18 35360 00169 N00111 E00161 Z00032 F090F090F088F088F068F068                
3000231 061835340 2 19 ///// 00160 N00155 E00124 Z00076 P///P///P///P///P///P///                
3000430 061835360 2 15 ///// 00134 N00093 E00104 Z00038 P///P///P///P///P///P///                
3000730 061835310 2 18 ///// 00136 N00093 E00127 Z00071 P///P///P///P///P///P///                
3002930 061835320 2 17 ///// 00120 N00088 E00118 Z00043 P///P///P///P///P///P///                
3003130 061835320 2 18 ///// 00151 N00118 E00146 Z00059 P///P///P///P///P///P///                
3003131 061835310 2 20 ///// 00247 N00230 E00193 Z00073 P///P///P///P///P///P///                
3003133 061835310 2 15 ///// 00354 N00351 E00201 Z00041 P///P///P///P///P///P///                
3003431 061835390 2 15 ///// 00118 N00091 E00117 Z00053 P///P///P///P///P///P///                
3010231 061835410 2 16 ///// 00129 N00102 E00083 Z00061 P///P///P///P///P///P///                
3016100 061835304 2 15 35384 00108 N00107 E00068 Z00049 F066F066F077F075F073F073                
3016131 061835380 2 18 ///// 00175 N00174 E00057 Z00050 P///P///P///P///P///P///                
3110631 061835360 2 16 ///// 00103 N00099 E00085 Z00057 P001P002P002P002P001P001                
3111530 061835320 2 15 ///// 00126 N00071 E00121 Z00020 P002P001P001P001P002P001                
2500200 061835411 1 10 35513 00044 N00030 E00037 Z00008 F066F066F053F053F050F050                
2500231 061835380 1 14 ///// 00178 N///// E///// Z///// P///P///P///P///P///P///                
2500433 061835550 1 05 ///// 00024 N///// E///// Z///// P///P///P///P///P///P///                
2500460 061835570 1 05 ///// 00033 N///// E///// Z///// P///P///P///P///P///P///                
2502330 061835520 1 09 ///// 00045 N///// E///// Z///// P///P///P///P///P///P///                
2502730 061834490 1 11 ///// 00040 N///// E///// Z///// P///P///P///P///P///P///                
2503101 061835346 1 10 35461 00052 N00038 E00051 Z00018 F063F063F058F058F191P205                
2503230 061835370 1 08 ///// 00046 N///// E///// Z///// P///P///P///P///P///P///                
2503630 061835390 1 10 ///// 00049 N///// E///// Z///// P///P///P///P///P///P///                
2503730 061835460 1 08 ///// 00021 N///// E///// Z///// P///P///P///P///P///P///                
2503830 061835340 1 09 ///// 00041 N///// E///// Z///// P///P///P///P///P///P///                
2504760 061835510 1 06 ///// 00040 N///// E///// Z///// P///P///P///P///P///P///                
3000031 061835310 1 12 ///// 00077 N00062 E00065 Z00054 P///P///P///P///P///P///                
3000230 061835340 1 12 ///// 00059 N00038 E00052 Z00035 P///P///P///P///P///P///                
3000233 061835390 1 09 ///// 00085 N00058 E00069 Z00039 P///P///P///P///P///P///                
3000531 061835390 1 11 ///// 00074 N00069 E00064 Z00035 P///P///P///P///P///P///                
3000532 061835390 1 12 ///// 00110 N00075 E00110 Z00045 P///P///P///P///P///P///                
3001430 061835360 1 07 ///// 00052 N00035 E00047 Z00019 P///P///P///P///P///P///                
3001931 061835360 1 10 ///// 00056 N00036 E00048 Z00026 P///P///P///P///P///P///                
3003100 061835326 1 08 35389 00033 N00032 E00029 Z00023 F058F058F055F055F140F140                
