code,address,lat,lon,from,to,latitude,longitude,date_b,date_e,beginning,end,date_b_sub,date_e_sub,duration,ge1_raw,rge1_ras,ge1_raw_py,rge1_ras_py,ge2_raw,rge2_ras,ge2_raw_py,rge2_ras_py,ge3_raw,rge3_ras,ge3_raw_py,rge3_ras_py,ge4_raw,rge4_ras,ge4_raw_py,rge4_ras_py,ge5_raw,rge5_ras,ge5_raw_py,rge5_ras_py,ge6_raw,rge6_ras,ge6_raw_py,rge6_ras_py,ge7_raw,rge7_ras,ge7_raw_py,rge7_ras_py,est7,est6,est5,slope,intercept,rvalue
2311332,由利本荘市岩城内道川＊,3933,14003,199711101200,,39.55,140.05,1997-11-10,2019-12-31,1919-01-01,2019-12-31,1997-11-10,2019-12-31,22.138716058509072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311333,由利本荘市前郷（旧）＊,3919,14006,199711101200,201610131200.0,39.31666666666667,140.1,1997-11-10,2016-10-13,1919-01-01,2019-12-31,1997-11-10,2016-10-13,18.924413232304566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311334,由利本荘市西目町沼田＊,3921,14001,200112121200,,39.35,140.01666666666668,2001-12-12,2019-12-31,1919-01-01,2019-12-31,2001-12-12,2019-12-31,18.05102089707523,520.0,186.0,28.807234946155017,28.807234946155017,164.0,80.0,9.08535871378735,9.08535871378735,33.0,17.0,1.8281514485059913,1.8281514485059913,7.0,4.0,0.3877897011982406,0.3877897011982406,1.0,1.0,0.0553985287426058,0.0553985287426058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003225976156762806,0.013301040440057166,0.054841594664967665,-0.6152244606891369,65.3480116820008,-0.9999236975349775
2311335,由利本荘市東由利老方＊,3918,14017,200304011200,,39.3,140.28333333333333,2003-04-01,2019-12-31,1919-01-01,2019-12-31,2003-04-01,2019-12-31,16.75051506875569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311336,由利本荘市岩谷町（旧）＊,3927,14006,199711101200,201606131200.0,39.45,140.1,1997-11-10,2016-06-13,1919-01-01,2019-12-31,1997-11-10,2016-06-13,18.590388577451968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311337,由利本荘市鳥海町伏見（旧）＊,3912,14011,199711101200,201711161200.0,39.2,140.18333333333334,1997-11-10,2017-11-16,1919-01-01,2019-12-31,1997-11-10,2017-11-16,20.016838128092978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311361,東由利町老方（旧）＊,3918,14017,199711101200,200304011200.0,39.3,140.28333333333333,1997-11-10,2003-04-01,1919-01-01,2019-12-31,1997-11-10,2003-04-01,5.388200989753383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311430,にかほ市平沢＊,3917,13958,199711101200,,39.28333333333333,139.96666666666667,1997-11-10,2019-12-31,1919-01-01,2019-12-31,1997-11-10,2019-12-31,22.138716058509072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311431,にかほ市金浦＊,3915,13955,199711101200,,39.25,139.91666666666666,1997-11-10,2019-12-31,1919-01-01,2019-12-31,1997-11-10,2019-12-31,22.138716058509072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311432,にかほ市象潟町浜ノ田＊,3912,13954,199711101200,,39.2,139.9,1997-11-10,2019-12-31,1919-01-01,2019-12-31,1997-11-10,2019-12-31,22.138716058509072,264.0,135.0,11.924810784071235,11.924810784071235,55.0,32.0,2.484335580014841,2.484335580014841,18.0,10.0,0.8130552807321296,0.8130552807321296,4.0,4.0,0.1806789512738066,0.1806789512738066,1.0,1.0,0.04516973781845165,0.04516973781845165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004885033731233604,0.015447833037449007,0.04885033731233603,-0.5,15.447833037449008,-0.993127343747787
