3410000 212054    1 // ///// ///// N///// E///// Z/////                                         
3500000 212053171 1 // ///// ///// N///// E///// Z/////                                         
3600300 212053217 1 // ///// ///// N///// E///// Z/////                                         
4110000 212053280 1 // ///// ///// N///// E///// Z/////                                         
4211600 212053246 1 // ///// ///// N///// E///// Z/////                                         
4220000 212053340 1 // ///// ///// N///// E///// Z/////                                         
A1958022207081446 039 333617 096 1324388 142 3924418      5111  6235愛媛県南予                1K
6220000 220708000 1 // ///// ///// N///// E///// Z/////                                         
A195802221512     99  4259   99  14424   99   0            8 1      詳細不明                  1N
1610000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
A195802230219     99  2447   99  12517   99   0            8 3      詳細不明                  1N
8040600 ///////// 3 // ///// ///// N///// E///// Z/////                                         
A195802230517     99  3029   99  14018   99   0            8 1      詳細不明                  1N
3580070 230517586 1 // ///// ///// N///// E///// Z/////                                         
A1958022312544926 017 353462 066 1381645 090 14     46J   5212  4150山梨県中・西部            6K
4110000 231254525 2 // ///// ///// N///// E///// Z/////                                         
4120970 231254572 2 // ///// ///// N///// E///// Z/////                                         
4220000 231254572 2 // ///// ///// N///// E///// Z/////                                         
4223970 231255    2 // ///// ///// N///// E///// Z/////                                         
4421800 231255000 2 // ///// ///// N///// E///// Z/////                                         
4433670 231255    1 // ///// ///// N///// E///// Z/////                                         
A1958022318122925 035 285703 212 1395371 383437     62D   5211  8332小笠原諸島西方沖          2K
3110000 231814203 1 // ///// ///// N///// E///// Z/////                                         
3500000 231814114 1 // ///// ///// N///// E///// Z/////                                         
A1958022323154379 016 342811 179 1375599 118289     52D   5211  4169遠州灘                    3K
2510000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
3110000 232316345 1 // ///// ///// N///// E///// Z/////                                         
3500000 232316293 1 // ///// ///// N///// E///// Z/////                                         
A195802240244     99  3439   99  13355   99   0            8 1      詳細不明                  1N
5814600 240244000 1 // ///// ///// N///// E///// Z/////                                         
A195802241025     99  3414   99  13510   99   0            8 2      詳細不明                  1N
5500000 241025000 2 // ///// ///// N///// E///// Z/////                                         
A195802241731     99  4237   99  14133   99   0            8 1      詳細不明                  1N
1460100 ///////// 1 // ///// ///// N///// E///// Z/////                                         
A195802241737     99  3414   99  13510   99   0            8 1      詳細不明                  1N
5500000 241737000 1 // ///// ///// N///// E///// Z/////                                         
A1958022517384165 018 334307 059 1352208 070  9           5212  5192紀伊水道                  1K
5510270 251738    2 // ///// ///// N///// E///// Z/////                                         
A1958022521101210 018 334446 038 1352363 075  2           5712  5192和歌山県南部              1S
5510270 252110    2 // ///// ///// N///// E///// Z/////                                         
A195802260945     99  3414   99  13510   99   0            8 1      詳細不明                  1N
5500000 260945000 1 // ///// ///// N///// E///// Z/////                                         
A1958022611270    99  3341   99  13521   99   0            8 1      詳細不明                  1N
5510270 261127    1 // ///// ///// N///// E///// Z/////                                         
A1958022612070    99  3341   99  13521   99   0            8 1      詳細不明                  1N
5510270 261207    1 // ///// ///// N///// E///// Z/////                                         
A1958022710134430 025 330213 056 1302592 092 193541934J   5112  7264有明海                    2K
7415370 271013441 2 // ///// ///// N///// E///// Z/////                                         
7310270 271014    1 // ///// ///// N///// E///// Z/////                                         
A195802272018     99  4031   99  14132   99   0            8 1      詳細不明                  1N
2020000 ///////// 1 // ///// ///// N///// E///// Z/////                                         
A195802280303     99  3414   99  13510   99   0            8 1      詳細不明                  1N
5500000 280303000 1 // ///// ///// N///// E///// Z/////                                         
A1958022807092135 033 361569 173 1375864 224  308279      5111  4147長野県中部                1K
4210000 280709217 1 // ///// ///// N///// E///// Z/////                                         
A195803010515     99  3414   99  13510   99   0            8 1      詳細不明                  1N
