7414800 101403000 1 08 03005 00019 N00013 E00015 Z00005                                         
7420000 101402429 1 09 02512 00041 N00038 E00024 Z00021                                         
7430400 101402476 1 06 02499 00019 N00019 E00015 Z00012                                         
7431900 101402100 1 05 02582 00016 N00016 E00010 Z00009                                         
7630000 101402543 1 08 02564 00037 N00030 E00022 Z00008                                         
7700400 101402345 1 13 02385 00082 N00068 E00060 Z00036                                         
7705300 101402100 1 13 02346 00183 N00099 E00079 Z00179                                         
7705800 101402404 1 13 02452 00125 N00109 E00051 Z00073                                         
7706000 101402397 1 11 02453 00070 N00050 E00049 Z00032                                         
7710000 101402439 1 06 02548 00035 N00026 E00030 Z00019                                         
7750400 101402409 1 06 02507 00042 N00040 E00034 Z00019                                         
A1998011015091408 003 315040 011 1301758 017  88509631V   5111  7273é≠éôìáåßéFñÄínï˚          1K
7705200 101509165 1 13 09181 00158 N00145 E00101 Z00037                                         
A1998011018263753 003 315074 010 1301767 015  81908533V37d5112  7273é≠éôìáåßéFñÄínï˚          3K
7705200 101826399 2 19 26412 00498 N00439 E00371 Z00129                                         
7700001 101826450 1 08 26505 00042 N00039 E00036 Z00017                                         
7700200 101826564 1 09 26567 00039 N00032 E00030 Z00024                                         
A1998011020050994 002 315112 009 1301759 013  82107623V   5111  7273é≠éôìáåßéFñÄínï˚          1K
7705200 102005124 1 11 05137 00180 N00173 E00094 Z00033                                         
A1998011022543629 008 351460 022 1374629 028 460608128V   5111  4149í∑ñÏåßìÏïî                1K
4512434 102254502 1 06 54521 00078 N00070 E00061 Z00031                                         
A1998011105552553 003 315110 010 1301786 015  73508824V   5111  7273é≠éôìáåßéFñÄínï˚          1K
7705200 110555279 1 07 55292 00090 N00044 E00089 Z00013                                         
A1998011114595575 004 342601 012 1391455 022 139704827V32d5111  3103êVìáÅEê_í√ìáãﬂäC          2K
3550002 111500073 1 09 00077 00044 N00040 E00030 Z00017                                         
3560110 111459591 1 11 00004 00089 N00053 E00049 Z00089                                         
A1998011119505861 018 242467 065 1234385 058  43010023V   5112  7290êºï\ìáïtãﬂ                1K
8070070 111951000 2 19 51010 00213 N00093 E00205 Z00078                                         
A1998011121274216 018 242517 063 1234319 055  35412327v   5113  7290êºï\ìáïtãﬂ                1K
8070070 112127436 3 25 27448 00490 N00216 E00482 Z00227                                         
A1998011200252895 015 432982 047 1404067 0892012113146D49V5111  1 20ñkäCìπêºï˚â´              1K
1520000 120026402 1 10 26430 00028 N00024 E00028 Z00005                                         
A1998011205174878 002 363736 011 1392000 013  87706026V   5111  3 83åQînåßìÏïî                2K
3100000 120517535 1 06 17562 00028 N00018 E00025 Z00016                                         
3200700 120517549 1 06 17549 00057 N00035 E00057 Z00016                                         
A1998011207483695 003 341045 013 1350427 016 114710931V   5111  5190ãIà…êÖìπ                  3K
5500131 120748410 1 12 ///// 00124 N00057 E00122 Z00049                                         
5500300 120748396 1 06 48412 00091 N00059 E00089 Z00031                                         
5501930 120748440 1 05 ///// 00034 N00025 E00027 Z00018                                         
A1998011214514105 017 330102 076 1364577 035 36     40D45V5212  5208éOèdåßìÏìåâ´              5K
5510100 121452105 2 15 52112 00067 N00058 E00060 Z00018                                         
5503430 121452240 1 07 ///// 00025 N00023 E00014 Z00014                                         
5503530 121452280 1 07 ///// 00030 N00030 E00021 Z00009                                         
5510030 121452200 1 05 ///// 00063 N00033 E00060 Z00019                                         
5510800 121452099 1 05 52106 00025 N00024 E00020 Z00007                                         
A1998011306121446 020 453618 081 1414560 060 194215536D35V5111  8322è@íJäCã¨                  1K
1350000 130612215 1 13 12230 00051 N00044 E00041 Z00012                                         
A1998011323432322 008 390537 021 1393207 045 129808038D38V5111  2 57éRå`åßâ´                  1K
2400101 132343267 1 08 43296 00044 N00036 E00038 Z00021                                         
A1998011402170788 028 353699 059 1401397 089 779825250D50V5113  3 93êÁótåßñkêºïî            185K
3015400 140217225 3 25 17338 00136 N00104 E00105 Z00049                                         
3300030 140217268 3 26 17422 00139 N00133 E00118 Z00028                                         
3300231 140217301 3 26 17388 00155 N00106 E00154 Z00027                                         
3300233 140217375 3 25 17392 00147 N00112 E00107 Z00035                                         
3300631 140217303 3 28 17410 00221 N00083 E00221 Z00026                                         
3300800 140217244 3 26 17370 00175 N00145 E00117 Z00040                                         
3300830 140217263 3 25 17384 00136 N00119 E00099 Z00034                                         
3310130 140217243 3 26 17340 00136 N00123 E00087 Z00046                                         
3310131 140217250 3 30 17340 00222 N00218 E00106 Z00048                                         
3311130 140217224 3 30 17334 00294 N00248 E00250 Z00141                                         
3312330 140217225 3 25 17323 00145 N00104 E00131 Z00049                                         
3312430 140217254 3 27 17359 00154 N00144 E00087 Z00033                                         
3312630 140217315 3 31 17320 00216 N00207 E00149 Z00052                                         
3314030 140217240 3 30 17360 00159 N00120 E00155 Z00080                                         
3314230 140217236 3 25 17353 00138 N00099 E00127 Z00041                                         
3314930 140217256 3 27 17384 00117 N00117 E00067 Z00034                                         
3315630 140217245 3 27 17373 00153 N00082 E00153 Z00035                                         
3402700 140217218 3 25 17315 00173 N00155 E00173 Z00040                                         
3410000 140217211 3 27 17293 00171 N00102 E00168 Z00054                                         
3500000 140217217 3 25 17330 00200 N00176 E00158 Z00057                                         
3502200 140217215 3 25 17307 00147 N00130 E00136 Z00058                                         
3600140 140217294 3 27 17343 00200 N00138 E00189 Z00071                                         
3600141 140217328 3 27 17339 00281 N00230 E00271 Z00077                                         
3600241 140217330 3 25 17349 00117 N00108 E00109 Z00040                                         
3600300 140217235 3 27 17401 00162 N00160 E00116 Z00060                                         
3600340 140217328 3 25 17343 00131 N00103 E00124 Z00082                                         
3600541 140217314 3 28 17337 00225 N00193 E00185 Z00087                                         
3601240 140217333 3 27 17366 00193 N00160 E00173 Z00115                                         
3601241 140217247 3 25 17351 00214 N00139 E00212 Z00101                                         
