code_prime,address,codes_ordered,lat,lon,datetime_b_s,datetime_e_s
3200630,群馬高山村中山,"[3200630, 3200631]",3637,13857,"['1998-06-15 12:00:00', '2011-05-12 13:00:00']","['2011-05-12 13:00:00', '2022-01-01 00:00:00']"
3200700,片品村東小川,[3200700],3646,13915,['1996-04-01 12:00:00'],['2020-10-29 12:00:00']
3200720,片品村鎌田,[3200720],3646,13913,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
3200830,川場村谷地,"[3200830, 3200831]",3642,13906,"['1998-06-15 12:00:00', '2011-05-12 13:00:00']","['2011-05-12 13:00:00', '2022-01-01 00:00:00']"
3201220,みなかみ町鹿野沢,[3201220],3647,13858,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
3201230,みなかみ町後閑,[3201230],3641,13900,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3201231,みなかみ町布施,[3201231],3641,13856,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3201270,須田貝通報所,[3201270],3652,13904,['1955-06-01 00:00:00'],['1968-12-31 23:59:59']
3201300,東吾妻町原町,"[3201300, 3201301]",3634,13850,"['1996-04-01 12:00:00', '2019-03-20 12:00:00']","['2019-03-20 12:00:00', '2022-01-01 00:00:00']"
3201320,東吾妻町本宿,[3201320],3631,13845,['2006-06-20 12:00:00'],['2022-01-01 00:00:00']
3201330,東吾妻町奥田,"[3201330, 3201331]",3633,13854,"['2001-05-10 12:00:00', '2011-01-26 12:00:00']","['2011-01-26 12:00:00', '2022-01-01 00:00:00']"
3201360,吾妻郡東村五町田,[3201360],3633,13854,['1998-06-15 12:00:00'],['2001-05-10 12:00:00']
3201430,群馬昭和村糸井,[3201430],3638,13904,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210000,前橋市昭和町,"[3210000, 3210001]",3624,13904,"['1897-01-01 00:00:00', '2016-02-17 12:00:00']","['2016-02-17 12:00:00', '2022-01-01 00:00:00']"
3210020,前橋市駒形町,[3210020],3621,13908,['2006-06-20 12:00:00'],['2022-01-01 00:00:00']
3210030,前橋市大手町,[3210030],3623,13904,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210031,前橋市堀越町,[3210031],3625,13909,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210032,前橋市鼻毛石町,"[3210032, 3210035]",3626,13911,"['1998-06-15 12:00:00', '2011-05-12 13:00:00']","['2007-09-26 12:00:00', '2022-01-01 00:00:00']"
3210033,前橋市粕川町,[3210033],3625,13913,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210034,前橋市富士見町,[3210034],3627,13905,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210120,高崎市栄町,[3210120],3619,13901,['2006-06-20 12:00:00'],['2010-10-05 12:00:00']
3210130,高崎市高松町,[3210130],3619,13900,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210131,高崎市倉渕町,[3210131],3626,13848,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210132,高崎市箕郷町,[3210132],3624,13857,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210133,高崎市足門町,[3210133],3624,13900,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210134,高崎市新町,[3210134],3617,13907,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210135,高崎市下室田,[3210135],3623,13853,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210136,高崎市吉井町吉井川,[3210136],3615,13859,['2004-03-01 12:00:00'],['2022-01-01 00:00:00']
3210160,群馬吉井町吉井,[3210160],3615,13859,['1998-06-15 12:00:00'],['2004-03-01 12:00:00']
3210200,桐生市織姫町,[3210200],3624,13920,['1996-04-01 12:00:00'],['2022-02-24 12:00:00']
3210201,桐生市錦町,[3210201],3624,13920,['2023-03-16 12:00:00'],['2022-01-01 00:00:00']
3210210,桐生市美原町,[3210210],3624,13920,['2022-02-24 12:00:00'],['2023-03-16 12:00:00']
3210220,桐生市元宿町,[3210220],3625,13920,['2006-06-20 12:00:00'],['2022-01-01 00:00:00']
3210230,桐生市新里町,"[3210230, 3210232]",3625,13914,"['1998-06-15 12:00:00', '2011-05-12 13:00:00']","['2011-05-12 13:00:00', '2022-01-01 00:00:00']"
3210231,桐生市黒保根町,[3210231],3630,13917,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210270,桐生通報所,[3210270],3624,13920,['1955-06-01 00:00:00'],['1977-12-31 23:59:59']
3210330,伊勢崎市今泉町,"[3210330, 3210331]",3619,13912,"['1998-06-15 12:00:00', '2004-03-01 12:00:00']","['2004-03-01 12:00:00', '2022-01-01 00:00:00']"
3210332,伊勢崎市西久保町,[3210332],3623,13914,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210333,伊勢崎市東町,"[3210333, 3210335]",3621,13915,"['1998-06-15 12:00:00', '2021-02-16 12:00:00']","['2021-02-16 12:00:00', '2022-01-01 00:00:00']"
3210334,伊勢崎市境,[3210334],3617,13915,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210420,太田市西本町,[3210420],3617,13922,['2006-06-20 12:00:00'],['2022-01-01 00:00:00']
3210430,太田市浜町,[3210430],3617,13923,['1999-07-21 12:00:00'],['2022-01-01 00:00:00']
3210431,太田市粕川町,[3210431],3616,13918,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210432,太田市新田金井町,[3210432],3618,13918,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210433,太田市大原町,"[3210433, 3210434]",3622,13918,"['1999-07-21 12:00:00', '2007-12-26 12:30:00']","['2007-12-26 12:00:00', '2022-01-01 00:00:00']"
3210520,館林市美園町,[3210520],3614,13932,['2006-06-20 12:00:00'],['2021-07-01 12:00:00']
3210521,館林市上三林町,[3210521],3613,13929,['2021-06-04 12:00:00'],['2022-01-01 00:00:00']
3210530,館林市城町,[3210530],3615,13933,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210620,渋川市八木原,[3210620],3628,13901,['2006-06-20 12:00:00'],['2012-08-10 15:00:00']
3210621,渋川市有馬,[3210621],3628,13901,['2012-08-10 15:00:00'],['2022-01-01 00:00:00']
3210630,渋川市石原,[3210630],3629,13900,['2005-05-16 12:00:00'],['2022-01-01 00:00:00']
3210631,渋川市北橘町,[3210631],3629,13903,['2000-11-30 12:00:00'],['2022-01-01 00:00:00']
3210632,渋川市赤城町,"[3210632, 3210636]",3632,13902,"['1998-06-15 12:00:00', '2015-08-21 12:00:00']","['2015-08-21 12:00:00', '2022-01-01 00:00:00']"
3210633,渋川市吹屋,[3210633],3631,13901,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210634,渋川市村上,[3210634],3633,13856,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210635,渋川市伊香保町,"[3210635, 3210637]",3630,13855,"['1998-06-15 12:00:00', '2017-03-13 12:00:00']","['2017-03-13 12:00:00', '2022-01-01 00:00:00']"
3210660,北橘村真壁,[3210660],3629,13903,['1998-06-15 12:00:00'],['2000-11-30 12:00:00']
3210730,藤岡市中栗須,[3210730],3615,13905,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210731,藤岡市鬼石,"[3210731, 3210732]",3610,13904,"['1998-06-15 12:00:00', '2016-03-28 12:00:00']","['2016-03-28 12:00:00', '2022-01-01 00:00:00']"
3210800,富岡市七日市,[3210800],3616,13853,['1996-04-01 12:00:00'],['2022-01-01 00:00:00']
3210830,富岡市妙義町,[3210830],3617,13849,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3210920,安中市松井田町,"[3210920, 3210921]",3621,13843,"['2006-03-01 12:00:00', '2015-02-07 12:00:00']","['2015-02-07 12:00:00', '2022-01-01 00:00:00']"
3210930,安中市安中,[3210930],3620,13853,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3212630,榛東村山子田,[3212630],3626,13859,['1998-06-15 12:00:00'],['2009-10-24 08:45:00']
3212631,榛東村新井,[3212631],3626,13858,['2009-11-11 15:00:00'],['2022-01-01 00:00:00']
3212730,吉岡町下野田,[3212730],3627,13901,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3213220,神流町生利,[3213220],3607,13856,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
3213230,神流町神ケ原,[3213230],3606,13850,['1998-06-15 12:00:00'],['2003-07-07 12:00:00']
3213231,神流町神ヶ原,[3213231],3606,13850,['2003-07-07 12:00:00'],['2022-01-01 00:00:00']
3213330,群馬上野村川和,"[3213330, 3213331]",3605,13847,"['1998-06-15 12:00:00', '2020-09-24 12:00:00']","['2020-09-24 12:00:00', '2022-01-01 00:00:00']"
3213520,下仁田町下小坂,[3213520],3614,13845,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
3213630,群馬南牧村大日向,[3213630],3609,13843,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3213730,甘楽町小幡,[3213730],3615,13855,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3214730,玉村町下新田,[3214730],3618,13907,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3215300,板倉町板倉,"[3215300, 3215301]",3613,13937,"['1996-04-01 12:00:00', '2019-03-27 12:00:00']","['2019-03-27 12:00:00', '2022-01-01 00:00:00']"
3215430,群馬明和町新里,"[3215430, 3215431]",3612,13932,"['1998-06-15 12:00:00', '2005-04-01 12:00:00']","['2005-04-01 12:00:00', '2022-01-01 00:00:00']"
3215530,千代田町赤岩,[3215530],3613,13927,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3215630,大泉町日の出,[3215630],3615,13924,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3215730,邑楽町中野,"[3215730, 3215731]",3616,13928,"['1998-06-15 12:00:00', '2008-05-03 13:30:00']","['2008-05-03 13:00:00', '2022-01-01 00:00:00']"
3215830,みどり市東町,[3215830],3631,13919,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3215831,みどり市笠懸町,[3215831],3624,13917,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3215832,みどり市大間々町,[3215832],3626,13916,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3300000,熊谷市桜町,[3300000],3609,13923,['1897-01-01 00:00:00'],['2022-01-01 00:00:00']
3300020,熊谷市宮町,[3300020],3609,13923,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
3300030,熊谷市大里,[3300030],3606,13925,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300031,熊谷市妻沼,[3300031],3613,13922,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300032,熊谷市江南,[3300032],3607,13920,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300130,行田市本丸,[3300130],3608,13927,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300131,行田市南河原,[3300131],3611,13926,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300230,加須市三俣,[3300230],3608,13936,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300231,加須市騎西,[3300231],3606,13934,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300232,加須市北川辺,[3300232],3611,13940,['1998-06-15 12:00:00'],['2022-01-01 00:00:00']
3300233,加須市大利根,[3300233],3608,13940,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300300,本庄市児玉町,"[3300300, 3300301]",3611,13908,"['1996-04-01 12:00:00', '2013-03-26 12:00:00']","['2013-03-26 12:00:00', '2022-01-01 00:00:00']"
3300320,本庄市本庄,[3300320],3615,13912,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
3300370,本庄熊谷分室,[3300370],3615,13911,['1938-01-01 00:00:00'],['1969-12-31 23:59:59']
3300420,東松山市市ノ川,[3300420],3603,13924,['2006-06-20 12:00:00'],['2022-01-01 00:00:00']
3300430,東松山市松葉町,[3300430],3603,13924,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300530,羽生市東,[3300530],3610,13933,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300630,鴻巣市中央,[3300630],3604,13931,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300631,鴻巣市吹上富士見,"[3300631, 3300634]",3606,13927,"['1997-11-10 12:00:00', '2014-11-27 12:00:00']","['2012-07-03 12:00:00', '2022-01-01 00:00:00']"
3300632,鴻巣市川里,"[3300632, 3300633]",3606,13931,"['1997-11-10 12:00:00', '2014-04-08 12:00:00']","['2013-01-07 12:00:00', '2022-01-01 00:00:00']"
3300730,深谷市仲町,"[3300730, 3300736]",3612,13917,"['1997-11-10 12:00:00', '2021-07-01 12:00:00']","['2020-10-29 12:00:00', '2022-01-01 00:00:00']"
3300731,深谷市岡部,[3300731],3612,13914,['1997-11-10 12:00:00'],['2021-03-11 12:00:00']
3300732,深谷市川本,[3300732],3608,13917,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300733,深谷市花園,"[3300733, 3300734]",3608,13914,"['1997-11-10 12:00:00', '2016-12-07 12:00:00']","['2012-03-27 12:00:00', '2022-01-01 00:00:00']"
3300735,深谷市普済寺,[3300735],3612,13914,['2021-03-11 12:00:00'],['2022-01-01 00:00:00']
3300800,久喜市下早見,[3300800],3604,13940,['1996-04-01 12:00:00'],['2022-01-01 00:00:00']
3300820,久喜市青葉,[3300820],3604,13942,['2006-06-20 12:00:00'],['2022-01-01 00:00:00']
3300830,久喜市菖蒲,[3300830],3604,13936,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300831,久喜市栗橋,[3300831],3608,13942,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3300832,久喜市鷲宮,[3300832],3606,13940,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3301030,滑川町福田,[3301030],3604,13922,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
3301130,嵐山町杉山,[3301130],3603,13919,['1997-11-10 12:00:00'],['2022-01-01 00:00:00']
