,code,address,lat,lon,from,to,latitude,longitude,date_b,date_e,duration
1160,3420330,鴨川市天津＊,3507,14009,200001121200,,35.11666666666667,140.15,2000-01-12,2019-12-31,19.967555801967187
1161,3420420,君津市久留里市場＊,3518,14005,200606201200,,35.3,140.08333333333334,2006-06-20,2019-12-31,13.530736428537205
1162,3420430,君津市久保（旧）＊,3520,13954,200001121200,201501201200.0,35.333333333333336,139.9,2000-01-12,2015-01-20,15.022895747345942
1163,3420530,富津市下飯野（旧）＊,3518,13951,200001121200,201501161200.0,35.3,139.85,2000-01-12,2015-01-16,15.011944119317986
1164,3420630,袖ケ浦市坂戸市場（旧）＊,3526,13957,200001121200,201412191200.0,35.43333333333333,139.95,2000-01-12,2014-12-19,14.93528272312231
1165,3420730,大多喜町大多喜＊,3517,14015,200001121200,,35.28333333333333,140.25,2000-01-12,2019-12-31,19.967555801967187
1166,3420930,御宿町須賀＊,3511,14021,200001121200,,35.18333333333333,140.35,2000-01-12,2019-12-31,19.967555801967187
1167,3421430,鋸南町下佐久間＊,3507,13950,200105101200,,35.11666666666667,139.83333333333334,2001-05-10,2019-12-31,18.642408810584747
1168,3422130,いすみ市国府台（旧）＊,3517,14019,200001121200,201501211200.0,35.28333333333333,140.31666666666666,2000-01-12,2015-01-21,15.02563365435293
1169,3422131,いすみ市大原＊,3515,14023,200001121200,,35.25,140.38333333333333,2000-01-12,2019-12-31,19.967555801967187
1170,3422132,いすみ市岬町長者＊,3518,14023,200105101200,,35.3,140.38333333333333,2001-05-10,2019-12-31,18.642408810584747
1171,3422200,南房総市上堀,3502,13953,200707021200,,35.03333333333333,139.88333333333333,2007-07-02,2019-12-31,12.498545486902538
1172,3422230,南房総市富浦町青木＊,3503,13950,200001121200,,35.05,139.83333333333334,2000-01-12,2019-12-31,19.967555801967187
1173,3422231,南房総市久枝（旧）＊,3506,13951,200001121200,201204021200.0,35.1,139.85,2000-01-12,2012-04-02,12.222016879196698
1174,3422232,南房総市谷向（旧）＊,3502,13954,200001121200,201412081200.0,35.03333333333333,139.9,2000-01-12,2014-12-08,14.905165746045435
1175,3422233,南房総市白浜町白浜＊,3454,13954,200105101200,,34.9,139.9,2001-05-10,2019-12-31,18.642408810584747
1176,3422234,南房総市千倉町瀬戸（旧）＊,3459,13957,200001121200,201412081200.0,34.983333333333334,139.95,2000-01-12,2014-12-08,14.905165746045435
1177,3422235,南房総市岩糸＊,3501,13958,200001121200,,35.016666666666666,139.96666666666667,2000-01-12,2019-12-31,19.967555801967187
1178,3422236,南房総市和田町仁我浦＊,3503,14001,200001121200,201007169999.0,35.05,140.01666666666668,2000-01-12,2010-07-16,10.508087092821892
1179,3500000,東京千代田区大手町,3541,13945,189801999999,,35.68333333333333,139.75,1996-04-01,2019-12-31,23.748605378618315
1180,3500051,東京千代田区麹町＊,3541,13945,199907211200,,35.68333333333333,139.75,1999-07-21,2019-12-31,20.446689528190173
1181,3500130,東京中央区築地＊,3540,13946,199907211200,,35.666666666666664,139.76666666666668,1999-07-21,2019-12-31,20.446689528190173
1182,3500150,東京中央区日本橋兜町＊,3541,13947,199907211200,,35.68333333333333,139.78333333333333,1999-07-21,2019-12-31,20.446689528190173
1183,3500151,東京中央区勝どき（旧）＊,3539,13947,200003281200,201803011200.0,35.65,139.78333333333333,2000-03-28,2018-03-01,17.92507717475376
1184,3500230,東京港区芝公園＊,3539,13945,200704021200,,35.65,139.75,2007-04-02,2019-12-31,12.74769502453849
1185,3500250,東京港区白金（旧）＊,3538,13944,199907211200,201612141200.0,35.63333333333333,139.73333333333332,1999-07-21,2016-12-14,17.402136936418955
1186,3500251,東京港区南青山（旧）＊,3540,13943,200003281200,201301161200.0,35.666666666666664,139.71666666666667,2000-03-28,2013-01-16,12.80519107168525
1187,3500320,東京新宿区上落合＊,3543,13941,200606201200,,35.71666666666667,139.68333333333334,2006-06-20,2019-12-31,13.530736428537205
1188,3500330,東京新宿区歌舞伎町（旧）＊,3542,13942,199907211200,201406081200.0,35.7,139.7,1999-07-21,2014-06-08,14.883262489989527
1189,3500351,東京新宿区百人町＊,3542,13942,200007181200,,35.7,139.7,2000-07-18,2019-12-31,19.452829284653347
1190,3500431,東京文京区スポーツセンタ＊,3543,13944,200904011200,,35.71666666666667,139.73333333333332,2009-04-01,2019-12-31,10.749022909436881
1191,3500450,東京文京区本郷＊,3542,13946,199907211200,,35.7,139.76666666666668,1999-07-21,2019-12-31,20.446689528190173
1192,3500451,東京文京区大塚＊,3543,13944,200003281200,,35.71666666666667,139.73333333333332,2000-03-28,2019-12-31,19.75947486943606
1193,3500531,東京台東区東上野（旧２）＊,3543,13947,200703051200,201912091200.0,35.71666666666667,139.78333333333333,2007-03-05,2019-12-09,12.764122466580423
