,code_prime,lon,lat,address,codes_ordered,gaps,distances,grand_date_b,grand_date_e,date_b_s,date_e_s,lats,lons,date_b_s_old,date_e_s_old,highest,highestplus1,duration,probability_not_occurr
2536,5112730,13547,3446,精華町北稲八間精華町南稲八間,"[5112730, 5112731]",[0],[0.0],1998-10-15,2023-12-31,"['1998-10-15', '2001-03-22']","['2001-03-22', '2023-12-31']","[3446, 3446]","[13547, 13547]",,,5.0,6.0,8113.0,0.8187307530779817
2537,5910231,13309,3431,尾道市御調町,"[5910231, 5910238]",[0],[0.0],1998-10-15,2023-12-31,"['1998-10-15', '2019-04-19']","['2019-04-19', '2023-12-31']","[3431, 3431]","[13309, 13309]",,,5.0,6.0,8113.0,0.8187307530779818
2538,7705520,13021,3135,日置市日吉町日置,[7705520],[],[],2007-03-01,2023-12-31,['2007-03-01'],['2023-12-31'],[3135],[13021],,,4.0,5.0,5054.0,0.8187307530779818
2539,4300020,13715,3609,高山市消防署,[4300020],[],[],2004-08-09,2023-12-31,['2004-08-09'],['2023-12-31'],[3609],[13715],,,4.0,5.0,5988.0,0.8187307530779818
2540,5700037,13310,3530,松江市八束町波入,"[5700037, 5700040]",[0],[0.0],1998-06-15,2023-12-31,"['1998-06-15', '2011-08-02']","['2011-08-02', '2023-12-31']","[3530, 3530]","[13310, 13310]",,,5.0,6.0,8235.0,0.8187307530779818
2541,1270100,14228,4327,上富良野町大町,[1270100],[],[],1996-04-01,2023-12-31,['1996-04-01'],['2023-12-31'],[4327],[14228],,,4.0,5.0,9040.0,0.8187307530779818
2542,8010630,12748,2620,沖縄市仲宗根町沖縄市美里,"[8010630, 8010631]",[0],[2.49],2003-03-10,2023-12-31,"['2003-03-10', '2011-05-12']","['2011-05-12', '2023-12-31']","[2620, 2621]","[12748, 12749]",,,4.0,5.0,6506.0,0.8187307530779818
2543,5351130,13450,3419,南あわじ市広田,[5351130],[],[],1998-10-15,2023-12-31,['1998-10-15'],['2023-12-31'],[3419],[13450],,,5.0,6.0,8113.0,0.8187307530779818
2544,5802033,13356,3517,鏡野町上齋原,"[5802033, 5802036]",[0],[0.0],2000-11-30,2023-12-31,"['2000-11-30', '2019-10-21']","['2019-10-21', '2023-12-31']","[3517, 3517]","[13356, 13356]",,,5.0,6.0,7336.0,0.8187307530779819
2545,5600000,13414,3529,鳥取市吉方,[5600000],[],[],1943-01-01,2023-12-31,['1943-01-01'],['2023-12-31'],[3529],[13414],,,6.0,7.0,28489.0,0.8188435899826723
2546,2205720,14039,3848,大崎市鳴子大崎市鳴子臨時,"[2205720, 2205710, 2205722, 2205723]","[0, 0, 0]","[8.02, 8.02, 8.02, 0.0, 0.0, 0.0]",2004-05-26,2023-12-31,"['2004-05-26', '2012-11-15', '2013-03-26', '2017-11-16']","['2012-11-15', '2013-03-26', '2017-11-16', '2023-12-31']","[3848, 3845, 3845, 3845]","[14039, 14043, 14043, 14043]","['2004-05-26', '2012-11-15', '2013-03-26', '2017-09-01']",,6.0,7.0,6063.0,0.8188443007492426
2547,5000030,13616,3516,彦根市元町,[5000030],[],[],2000-11-30,2023-12-31,['2000-11-30'],['2023-12-31'],[3516],[13616],,,4.0,5.0,7336.0,0.8191652102710532
2548,2205234,14057,3849,栗原市鶯沢,[2205234],[],[],2002-03-02,2023-12-31,['2002-03-02'],['2023-12-31'],[3849],[14057],,,6.0,7.0,6879.0,0.8192347938105261
2549,2410720,14010,3836,大蔵村肘折,[2410720],[],[],2006-06-20,2023-12-31,['2006-06-20'],['2023-12-31'],[3836],[14010],,,5.0,6.0,5308.0,0.8193820927388014
2550,3800800,13720,3636,立山町吉峰,[3800800],[],[],1994-07-15,2023-12-31,['1994-07-15'],['2023-12-31'],[3636],[13720],,,4.0,5.0,9666.0,0.8194881966473807
2551,1220120,14147,4312,岩見沢市鳩が丘,"[1220120, 1220121]",[0],[0.0],2006-03-01,2023-12-31,"['2006-03-01', '2022-07-01']","['2022-07-01', '2023-12-31']","[4312, 4312]","[14147, 14147]",,,4.0,5.0,5419.0,0.8194881966473807
2552,1510321,14234,4215,新ひだか町三石旭町,[1510321],[],[],2006-03-01,2023-12-31,['2006-03-01'],['2023-12-31'],[4215],[14234],,,5.0,6.0,5419.0,0.8196590266134994
